u:\PHYS 402\Lab 1 (D7)\day2data7.txt

DAQ PROGRAM: DGMC2.prj 


Date: 
09-08-2020
Time: 
12:02:22
Total Number of Data Points:     
513
Stepper Motor Step Size (Cycles):
1
Stepper Motor Step Size (Steps): 
40
Stepper Motor Step Size (cm):    
2.0

W(A) 	Robs 	WNum 
        3401.65	      11.792453	   -6726.902036
        3403.15	       11.20283	   -6713.944556
        3405.15	       9.433962	   -6696.685675
        3407.15	      10.613208	   -6679.447055
        3409.15	       8.254717	   -6662.228661
         3411.2	       4.716981	   -6644.600761
        3413.15	      10.613208	    -6627.85241
        3415.15	       7.075472	   -6610.694483
        3417.15	      10.023585	   -6593.556639
        3419.15	       8.254717	   -6576.438845
         3421.2	       7.665094	   -6558.913877
        3423.15	      10.613208	   -6542.263264
        3425.15	       4.127358	   -6525.205407
        3427.15	       2.358491	   -6508.167459
        3429.15	       11.20283	   -6491.149385
        3431.15	      14.150943	   -6474.151151
        3433.15	       7.665094	   -6457.172722
        3435.15	      12.382075	   -6440.214063
        3437.15	      12.382075	   -6423.275139
        3439.15	       9.433962	   -6406.355917
        3441.15	       5.306604	   -6389.456362
        3443.15	      15.330189	    -6372.57644
        3445.15	       4.716981	   -6355.716115
        3447.15	       6.485849	   -6338.875356
        3449.15	       8.254717	   -6322.054126
         3451.2	      16.509434	     -6304.8326
        3453.15	       9.433962	   -6288.470123
        3455.15	      10.613208	   -6271.707281
         3457.2	      12.382075	   -6254.545497
        3459.15	       11.20283	   -6238.239749
         3461.2	      10.023585	    -6221.11762
         3463.2	      11.792453	   -6204.432638
         3465.2	       4.716981	   -6187.766917
         3467.2	       8.254717	   -6171.120422
         3469.2	        8.84434	   -6154.493121
         3471.2	       8.254717	    -6137.88498
         3473.2	        8.84434	   -6121.295966
         3475.2	       9.433962	   -6104.726047
         3477.2	       9.433962	   -6088.175189
         3479.2	       7.075472	   -6071.643359
         3481.2	       8.254717	   -6055.130524
         3483.2	       5.896226	   -6038.636653
         3485.2	       6.485849	   -6022.161711
         3487.2	      10.613208	   -6005.705667
         3489.2	       8.254717	   -5989.268489
         3491.2	       9.433962	   -5972.850143
         3493.2	       4.716981	   -5956.450597
         3495.2	       8.254717	    -5940.06982
         3497.2	      12.382075	   -5923.707778
        3499.15	        8.84434	   -5907.772796
         3501.2	      11.792453	   -5891.039774
         3503.2	       4.716981	   -5874.733747
        3505.15	       5.306604	   -5858.853288
        3507.15	      12.382075	   -5842.583981
        3509.15	      10.613208	   -5826.333219
         3511.2	        8.84434	   -5809.695402
        3513.15	       8.254717	   -5793.887204
        3515.15	      18.867925	   -5777.691888
        3517.15	       9.433962	    -5761.51499
        3519.15	       4.127358	   -5745.356479
        3521.15	        8.84434	   -5729.216325
        3523.15	       3.537736	   -5713.094495
        3525.15	       11.20283	   -5696.990958
        3527.15	       5.306604	   -5680.905684
        3529.15	       3.537736	   -5664.838641
        3531.15	      11.792453	   -5648.789799
        3533.15	        8.84434	   -5632.759126
        3535.15	       7.665094	   -5616.746592
        3537.15	      11.792453	   -5600.752165
        3539.15	      16.509434	   -5584.775816
