u:\PHYS 402\Lab 1 (D7)\day2data9.txt

DAQ PROGRAM: DGMC2.prj 


Date: 
09-08-2020
Time: 
12:46:51
Total Number of Data Points:     
512
Stepper Motor Step Size (Cycles):
1
Stepper Motor Step Size (Steps): 
40
Stepper Motor Step Size (cm):    
2.0

W(A) 	Robs 	WNum 
        3401.65	      14.740566	   -6726.902036
        3403.15	        8.84434	   -6713.944556
        3405.15	      17.099057	   -6696.685675
        3407.15	      12.382075	   -6679.447055
        3409.15	      14.740566	   -6662.228661
         3411.2	      11.792453	   -6644.600761
        3413.15	      12.971698	    -6627.85241
        3415.15	       8.254717	   -6610.694483
        3417.15	      15.919811	   -6593.556639
        3419.15	      15.919811	   -6576.438845
        3421.15	      16.509434	   -6559.341065
        3423.15	      21.816038	   -6542.263264
        3425.15	      12.971698	   -6525.205407
        3427.15	      17.099057	   -6508.167459
        3429.15	      11.792453	   -6491.149385
        3431.15	      11.792453	   -6474.151151
        3433.15	      12.971698	   -6457.172722
        3435.15	      16.509434	   -6440.214063
        3437.15	      11.792453	   -6423.275139
        3439.15	      16.509434	   -6406.355917
         3441.2	      21.226415	   -6389.034125
        3443.15	      12.971698	    -6372.57644
        3445.15	      14.150943	   -6355.716115
        3447.15	      14.740566	   -6338.875356
        3449.15	      12.382075	   -6322.054126
         3451.2	       7.665094	     -6304.8326
        3453.15	       20.04717	   -6288.470123
        3455.15	      12.382075	   -6271.707281
        3457.15	      11.792453	   -6254.963834
         3459.2	       9.433962	   -6237.821895
         3461.2	      18.867925	    -6221.11762
         3463.2	      12.971698	   -6204.432638
        3465.15	      19.457547	   -6188.183326
         3467.2	      14.740566	   -6171.120422
         3469.2	      18.867925	   -6154.493121
         3471.2	      17.099057	    -6137.88498
         3473.2	      15.919811	   -6121.295966
        3475.15	       22.40566	   -6105.140062
         3477.2	       11.20283	   -6088.175189
         3479.2	      14.150943	   -6071.643359
         3481.2	      18.867925	   -6055.130524
         3483.2	      17.688679	   -6038.636653
         3485.2	       20.04717	   -6022.161711
         3487.2	      12.971698	   -6005.705667
         3489.2	      14.150943	   -5989.268489
         3491.2	      14.740566	   -5972.850143
         3493.2	      17.099057	   -5956.450597
        3495.15	      10.023585	   -5940.479111
         3497.2	      14.150943	   -5923.707778
        3499.15	      15.919811	   -5907.772796
         3501.2	      12.971698	   -5891.039774
        3503.15	      12.971698	   -5875.141171
        3505.15	      15.330189	   -5858.853288
        3507.15	      14.150943	   -5842.583981
        3509.15	      16.509434	   -5826.333219
         3511.2	      11.792453	   -5809.695402
        3513.15	      17.688679	   -5793.887204
        3515.15	        8.84434	   -5777.691888
        3517.15	      17.688679	    -5761.51499
        3519.15	      17.688679	   -5745.356479
        3521.15	      11.792453	   -5729.216325
        3523.15	      13.561321	   -5713.094495
         3525.1	      15.330189	   -5697.393324
        3527.15	      13.561321	   -5680.905684
         3529.1	      17.688679	   -5665.240096
        3531.15	      16.509434	   -5648.789799
        3533.15	       11.20283	   -5632.759126
         3535.1	      18.867925	   -5617.146684
        3537.15	      12.971698	   -5600.752165
        3539.15	      18.867925	   -5584.775816
         3541.2	      13.561321	   -5568.418786
        3543.15	      15.919811	   -5552.877226
        3545.15	      13.561321	   -5536.954925
        3547.15	      15.330189	   -5521.050578
        3549.15	      12.382075	   -5505.164157
         3551.2	      27.712264	   -5488.899145
        3553.15	      13.561321	   -5473.444966
        3555.15	      13.561321	   -5457.612137
        3557.15	       7.665094	   -5441.797112
        3559.15	       11.20283	   -5425.999861
         3561.2	      15.330189	   -5409.826093
         3563.2	      17.099057	   -5394.064742
        3565.15	      16.509434	   -5378.714452
         3567.2	      13.561321	   -5362.595062
         3569.2	      15.330189	   -5346.886673
         3571.2	      26.533019	   -5331.195878
         3573.2	      18.278302	   -5315.522648
        3575.15	      11.792453	   -5300.258133
         3577.2	      12.382075	   -5284.228766
         3579.2	      18.278302	   -5268.608055
         3581.2	      20.636792	   -5253.004791
         3583.2	      13.561321	   -5237.418945
         3585.2	      11.792453	   -5221.850489
         3587.2	      17.688679	   -5206.299392
         3589.2	      15.919811	   -5190.765627
         3591.2	      14.150943	   -5175.249163
         3593.2	      18.278302	   -5159.749973
        3595.15	      11.792453	   -5144.654865
         3597.2	      21.816038	   -5128.803296
        3599.15	      17.099057	   -5113.741732
         3601.2	      25.943396	   -5097.925367
         3603.2	      16.509434	   -5082.512111
        3605.15	      29.481132	   -5067.500652
        3607.15	      14.150943	   -5052.121144
        3609.15	      19.457547	   -5036.758681
         3611.2	      18.278302	   -5021.029816
        3613.15	      20.636792	   -5006.084776
        3615.15	       9.433962	   -4990.773278
        3617.15	      10.023585	   -4975.478712
        3619.15	      18.278302	    -4960.20105
        3621.15	      14.740566	   -4944.940264
        3623.15	      14.150943	   -4929.696326
        3625.15	      16.509434	   -4914.469209
        3627.15	      22.995283	   -4899.258884
        3629.15	      18.867925	   -4884.065323
        3631.15	       11.20283	     -4868.8885
        3633.15	      14.740566	   -4853.728385
        3635.15	       11.20283	   -4838.584953
        3637.15	      20.636792	   -4823.458174
        3639.15	      10.613208	   -4808.348022
         3641.2	      15.919811	   -4792.877343
        3643.15	      15.330189	   -4778.177489
        3645.15	      20.636792	   -4763.117054
        3647.15	      25.353774	   -4748.073135
        3649.15	      23.584906	   -4733.045707
         3651.2	      28.891509	   -4717.659679
        3653.15	      17.099057	   -4703.040214
        3655.15	      19.457547	   -4688.062095
        3657.15	      24.764151	   -4673.100358
         3659.2	      18.867925	   -4657.781551
         3661.2	      15.330189	   -4642.852906
         3663.2	      20.636792	   -4627.940562
         3665.2	      19.457547	   -4613.044492
         3667.2	      22.995283	   -4598.164671
         3669.2	      16.509434	   -4583.301071
         3671.2	      19.457547	   -4568.453665
        3673.15	      22.995283	   -4553.993012
         3675.2	       9.433962	   -4538.807333
         3677.2	      18.278302	   -4524.008354
         3679.2	      10.613208	   -4509.225464
         3681.2	      21.226415	   -4494.458637
         3683.2	      21.816038	   -4479.707847
         3685.2	       20.04717	   -4464.973068
         3687.2	      27.122642	   -4450.254273
         3689.2	      15.330189	   -4435.551438
         3691.2	      17.099057	   -4420.864535
         3693.2	      13.561321	   -4406.193539
        3695.15	      15.330189	   -4391.904609
         3697.2	      18.278302	   -4376.899165
        3699.15	      12.971698	   -4362.641129
         3701.2	        8.84434	    -4347.66811
        3703.15	      12.971698	   -4333.440867
        3705.15	      14.740566	   -4318.864379
        3707.15	      12.971698	   -4304.303619
        3709.15	      12.382075	   -4289.758562
         3711.2	       11.20283	   -4274.866147
        3713.15	      17.688679	   -4260.715453
        3715.15	      19.457547	   -4246.217351
        3717.15	       11.20283	    -4231.73485
        3719.15	      23.584906	   -4217.267926
        3721.15	      14.150943	   -4202.816552
        3723.15	      12.382075	   -4188.380705
        3725.15	      18.278302	   -4173.960358
        3727.15	      14.150943	   -4159.555488
        3729.15	      23.584906	   -4145.166068
        3731.15	      19.457547	   -4130.792075
        3733.15	      12.971698	   -4116.433484
        3735.15	      26.533019	   -4102.090269
        3737.15	      19.457547	   -4087.762406
        3739.15	       22.40566	    -4073.44987
         3741.2	      12.382075	   -4058.795402
        3743.15	      17.099057	   -4044.870683
        3745.15	      27.122642	   -4030.603982
        3747.15	      20.636792	   -4016.352511
        3749.15	      25.353774	   -4002.116245
         3751.2	      15.330189	   -3987.539826
        3753.15	      25.943396	    -3973.68923
        3755.15	      17.099057	   -3959.498433
        3757.15	      11.792453	   -3945.322744
        3759.15	      26.533019	    -3931.16214
         3761.2	      24.174528	   -3916.663149
         3763.2	       22.40566	   -3902.533015
        3765.15	      11.792453	   -3888.770588
         3767.2	      18.278302	   -3874.317758
         3769.2	      24.174528	   -3860.232586
         3771.2	      21.226415	   -3846.162355
         3773.2	      11.792453	   -3832.107039
         3775.2	      14.740566	   -3818.066616
         3777.2	      10.023585	   -3804.041061
         3779.2	      13.561321	   -3790.030351
         3781.2	      15.330189	   -3776.034463
         3783.2	      13.561321	   -3762.053372
         3785.2	      15.919811	   -3748.087056
         3787.2	       20.04717	   -3734.135491
         3789.2	      16.509434	   -3720.198654
         3791.2	      12.971698	   -3706.276521
         3793.2	       20.04717	    -3692.36907
        3795.15	      17.688679	   -3678.823417
         3797.2	      15.919811	   -3664.598117
        3799.15	      29.481132	   -3651.080981
         3801.2	      18.867925	   -3636.885611
