u:\PHYS 402\Lab 1 (D7)\day1test1.txt

DAQ PROGRAM: DGMC2.prj 


Date: 
09-08-2020
Time: 
09:38:26
Total Number of Data Points:     
96
Stepper Motor Step Size (Cycles):
0
Stepper Motor Step Size (Steps): 
5
Stepper Motor Step Size (cm):    
0.25

W(A) 	Robs 	WNum 
        4551.65	            0.0	     700.541421
        4551.45	    3294.811321	     699.576012
        4551.65	    2867.334906	     700.541421
        4551.85	    2728.773585	     701.506746
        4552.15	    1778.301887	     702.954573
         4552.4	    2942.806604	      704.16095
        4552.65	    2599.646226	     705.367194
         4552.9	    1704.599057	     706.573306
        4553.15	    2632.665094	     707.779286
         4553.4	    2702.240566	     708.985133
        4553.65	    2188.089623	     710.190848
         4553.9	    2964.622642	      711.39643
        4554.15	    2843.160377	      712.60188
         4554.4	    3017.099057	     713.807198
        4554.65	    2159.787736	     715.012383
         4554.9	    2330.778302	     716.217436
        4555.15	    3527.712264	     717.422357
         4555.4	    2814.268868	     718.627145
        4555.65	    2034.198113	     719.831801
         4555.9	    1939.858491	     721.036325
        4556.15	    2350.235849	     722.240717
         4556.4	    2763.561321	     723.444977
        4556.65	    3652.712264	     724.649104
         4556.9	    3341.391509	       725.8531
        4557.15	    2412.146226	     727.056963
         4557.4	    2708.136792	     728.260694
        4557.65	    3160.966981	     729.464294
         4557.9	    2068.396226	     730.667761
        4558.15	    1748.820755	     731.871096
         4558.4	    2507.665094	     733.074299
        4558.65	    2625.589623	      734.27737
         4558.9	    2652.122642	      735.48031
        4559.15	    3459.316038	     736.683117
         4559.4	    3423.349057	     737.885792
        4559.65	     4238.79717	     739.088336
         4559.9	    4176.886792	     740.290748
        4560.15	    3777.712264	     741.493027
         4560.4	    3469.929245	     742.695175
        4560.65	    4752.358491	     743.897192
         4560.9	    3992.334906	     745.099076
         4561.2	    3623.231132	     746.541163
         4561.4	    3649.174528	      747.50245
        4561.65	    2879.127358	     748.703939
         4561.9	    2688.089623	     749.905297
        4562.15	    2039.504717	     751.106522
        4562.35	    2298.938679	     752.067408
        4562.65	    2977.004717	     753.508579
         4562.9	    2879.716981	      754.70941
        4563.15	     2979.95283	      755.91011
         4563.4	    3174.528302	     757.110678
        4563.65	    4622.051887	     758.311114
         4563.9	    5208.136792	     759.511419
        4564.15	    7641.509434	     760.711592
         4564.4	    8521.816038	     761.911634
        4564.65	    8460.495283	     763.111545
         4564.9	    7798.938679	     764.311324
        4565.15	    4037.735849	     765.510971
         4565.4	    3622.051887	     766.710487
        4565.65	    3132.665094	     767.909872
         4565.9	    3101.415094	     769.109126
        4566.15	         3125.0	     770.308248
         4566.4	    3485.259434	     771.507239
        4566.65	    4788.325472	     772.706098
         4566.9	     5113.79717	     773.904827
        4567.15	     6383.84434	     775.103424
         4567.4	     6636.20283	      776.30189
        4567.65	    6029.481132	     777.500225
         4567.9	    5738.207547	     778.698428
        4568.15	    3580.778302	       779.8965
         4568.4	    2796.580189	     781.094442
        4568.65	    1666.863208	     782.292252
         4568.9	    1443.985849	     783.489931
         4569.2	     1084.90566	     784.926973
         4569.4	    1328.419811	     785.884896
        4569.65	    1078.419811	     787.082182
         4569.9	    1089.622642	     788.279337
         4570.2	     891.509434	      789.71575
         4570.4	     745.283019	     790.673254
        4570.65	     740.566038	     791.870016
         4570.9	     767.099057	     793.066647
        4571.15	     714.622642	     794.263148
         4571.4	     704.599057	     795.459517
        4571.65	     561.910377	     796.655756
         4571.9	     577.830189	     797.851863
        4572.15	     484.669811	      799.04784
         4572.4	     439.268868	     800.243687
        4572.65	     413.325472	     801.439402
         4572.9	     563.089623	     802.634987
        4573.15	     389.740566	     803.830441
         4573.4	     510.613208	     805.025764
        4573.65	     429.245283	     806.220957
         4573.9	     339.033019	     807.416018
         4574.2	     465.801887	      808.84992
         4574.4	     364.386792	      809.80575
        4574.65	     378.537736	     811.000421
         4574.9	     617.924528	      812.19496
