u:\PHYS 402\Lab 1 (D7)\day2data2(notgood).txt

DAQ PROGRAM: DGMC2.prj 


Date: 
09-08-2020
Time: 
10:31:28
Total Number of Data Points:     
327
Stepper Motor Step Size (Cycles):
1
Stepper Motor Step Size (Steps): 
40
Stepper Motor Step Size (cm):    
2.0

W(A) 	Robs 	WNum 
        4651.65	      14.740566	    1172.848126
        4653.15	      28.301887	    1179.778189
        4655.15	      20.636792	    1189.011325
        4657.15	      26.533019	    1198.236532
        4659.15	      10.023585	    1207.453818
         4661.2	      14.150943	    1216.893328
        4663.15	      21.816038	    1225.864671
        4665.15	      10.023585	    1235.058258
        4667.15	       22.40566	    1244.243966
        4669.15	       7.075472	    1253.421805
         4671.2	      12.971698	    1262.820933
        4673.15	      17.099057	    1271.753914
        4675.15	       9.433962	    1280.908205
        4677.15	      12.971698	    1290.054668
        4679.15	      10.613208	    1299.193311
         4681.2	      24.764151	    1308.552316
        4683.15	      18.278302	    1317.447181
        4685.15	      17.688679	    1326.562428
        4687.15	      10.023585	    1335.669896
        4689.15	      12.382075	    1344.769594
         4691.2	      15.330189	    1354.088733
        4693.15	      12.971698	    1362.945725
        4695.15	      15.330189	    1372.022176
        4697.15	      21.226415	    1381.090898
        4699.15	      15.919811	    1390.151901
         4701.2	      11.792453	    1399.431428
        4703.15	      11.792453	    1408.250787
        4705.15	       5.306604	    1417.288691
        4707.15	      10.613208	    1426.318914
        4709.15	       6.485849	    1435.341467
        4711.15	       8.254717	    1444.356359
        4713.15	      11.792453	      1453.3636
        4715.15	       8.254717	    1462.363201
        4717.15	       11.20283	     1471.35517
         4719.1	       5.306604	    1480.115001
        4721.15	       4.127358	    1489.316252
        4723.15	      10.023585	    1498.285385
         4725.1	      10.023585	    1507.022979
         4727.1	       3.537736	    1515.977126
         4729.1	       7.665094	    1524.923699
        4731.15	      19.457547	    1534.086086
         4733.1	      11.792453	    1542.794162
         4735.1	       8.254717	    1551.718071
         4737.1	       8.254717	    1560.634446
        4739.15	      12.971698	    1569.765919
        4741.15	      10.023585	    1578.667063
        4743.15	      16.509434	    1587.560701
        4745.15	       9.433962	    1596.446842
        4747.15	      12.971698	    1605.325495
        4749.15	      14.740566	     1614.19667
        4751.15	       5.306604	    1623.060377
        4753.15	      11.792453	    1631.916624
        4755.15	      12.382075	    1640.765422
        4757.15	       3.537736	    1649.606779
        4759.15	      14.150943	    1658.440705
         4761.2	      15.330189	    1667.487777
        4763.15	       4.127358	    1676.086301
        4765.15	      10.023585	     1684.89799
         4767.2	      12.971698	    1693.922298
        4769.15	      10.613208	    1702.499196
         4771.2	       7.075472	    1711.508376
        4773.15	      11.792453	    1720.070902
        4775.15	      14.150943	    1728.845716
        4777.15	       7.665094	    1737.613182
        4779.15	       11.20283	     1746.37331
         4781.2	      12.382075	    1755.344835
        4783.15	      14.740566	    1763.871589
        4785.15	      15.330189	    1772.609758
        4787.15	       9.433962	    1781.340625
         4789.2	      11.792453	    1790.282197
         4791.2	       11.20283	    1798.998307
        4793.15	       7.665094	    1807.489511
        4795.15	       5.896226	    1816.191265
        4797.15	      19.457547	    1824.885763
        4799.15	      12.382075	    1833.573014
         4801.2	       9.433962	    1842.469935
        4803.15	       2.948113	    1850.925812
        4805.15	      12.971698	    1859.591377
        4807.15	        8.84434	    1868.249732
        4809.15	      12.382075	    1876.900885
        4811.15	      11.792453	    1885.544846
        4813.15	       7.665094	    1894.181623
        4815.15	       20.04717	    1902.811225
        4817.15	      12.971698	    1911.433661
         4819.1	       5.896226	    1919.833646
        4821.15	       11.20283	    1928.657073
         4823.1	      12.382075	    1937.043128
         4825.1	       6.485849	    1945.637168
         4827.1	       8.254717	    1954.224088
         4829.1	       9.433962	    1962.803894
        4831.15	       11.20283	    1971.590824
         4833.1	       8.254717	    1979.942205
         4835.1	       7.075472	    1988.500727
        4837.15	      10.613208	    1997.265867
        4839.15	       7.075472	    2005.810066
        4841.15	       11.20283	    2014.347205
        4843.15	       9.433962	    2022.877293
        4845.15	       11.20283	     2031.40034
        4847.15	       6.485849	    2039.916353
        4849.15	      14.150943	    2048.425341
        4851.15	       7.075472	    2056.927313
        4853.15	      11.792453	    2065.422277
        4855.15	       7.665094	    2073.910243
        4857.15	      13.561321	    2082.391219
        4859.15	        8.84434	    2090.865214
         4861.2	       8.254717	    2099.543822
        4863.15	       9.433962	    2107.792293
        4865.15	       7.665094	    2116.245394
        4867.15	       9.433962	    2124.691549
        4869.15	      10.613208	    2133.130765
         4871.2	       8.254717	     2141.77377
        4873.15	        8.84434	    2149.988416
        4875.15	      11.792453	    2158.406868
        4877.15	      12.382075	    2166.818416
        4879.15	       7.075472	    2175.223067
         4881.2	      14.150943	    2183.830687
        4883.15	      10.613208	    2192.011716
        4885.15	       8.254717	    2200.395731
        4887.15	       7.665094	    2208.772884
        4889.15	       4.127358	    2217.143182
         4891.2	        8.84434	    2225.715635
        4893.15	      12.971698	    2233.863253
        4895.15	       4.716981	    2242.213041
        4897.15	      14.150943	    2250.556009
        4899.15	      11.792453	    2258.892166
        4901.15	       7.665094	    2267.221519
        4903.15	      15.919811	    2275.544076
        4905.15	        8.84434	    2283.859847
        4907.15	      10.023585	     2292.16884
        4909.15	       8.254717	    2300.471062
        4911.15	      11.792453	    2308.766523
        4913.15	       5.896226	    2317.055229
        4915.15	       5.896226	    2325.337191
        4917.15	      13.561321	    2333.612415
         4919.1	      10.613208	    2341.674279
        4921.15	       4.716981	    2350.142684
        4923.15	       7.665094	    2358.397746
         4925.1	        8.84434	    2366.439976
         4927.1	      12.382075	    2374.681804
         4929.1	      10.023585	    2382.916944
        4931.15	       4.716981	     2391.35103
         4933.1	        8.84434	    2399.367192
         4935.1	       7.075472	    2407.582316
         4937.1	       5.896226	    2415.790784
        4939.15	       9.433962	    2424.197565
        4941.15	        8.84434	     2432.39258
        4943.15	      12.382075	    2440.580963
        4945.15	       7.665094	    2448.762723
        4947.15	      12.971698	    2456.937868
        4949.15	       7.075472	    2465.106405
        4951.15	       4.127358	    2473.268343
        4953.15	      18.867925	     2481.42369
        4955.15	       8.254717	    2489.572453
        4957.15	      11.792453	    2497.714641
        4959.15	      12.382075	    2505.850262
         4961.2	        8.84434	    2514.182466
        4963.15	       9.433962	    2522.101833
        4965.15	      14.150943	    2530.217799
         4967.2	       8.254717	    2538.529881
        4969.15	       11.20283	    2546.430132
         4971.2	       7.665094	     2554.72884
        4973.15	      10.023585	    2562.616385
        4975.15	      12.382075	    2570.699751
        4977.15	        8.84434	    2578.776621
        4979.15	       7.075472	    2586.847002
         4981.2	      12.382075	    2595.112418
        4983.15	       8.254717	    2602.968331
        4985.15	       9.433962	    2611.019293
        4987.15	       6.485849	    2619.063798
        4989.15	      13.561321	    2627.101854
         4991.2	      12.382075	    2635.334175
        4993.15	       6.485849	    2643.158647
        4995.15	       2.948113	      2651.1774
        4997.15	      18.867925	    2659.189735
        4999.15	       5.896226	    2667.195659
         5001.2	       4.716981	    2675.395085
        5003.15	       5.896226	    2683.188304
        5005.15	       2.358491	    2691.175041
        5007.15	       4.127358	    2699.155397
        5009.15	       7.075472	    2707.129381
        5011.15	       9.433962	       2715.097
        5013.15	       4.716981	    2723.058262
        5015.15	       6.485849	    2731.013173
        5017.15	       7.665094	    2738.961743
        5019.15	      12.382075	    2746.903978
        5021.15	       11.20283	    2754.839886
         5023.1	       3.537736	    2762.571312
         5025.1	      11.792453	    2770.494746
         5027.1	       6.485849	    2778.411876
         5029.1	       5.896226	    2786.322709
        5031.15	       8.254717	    2794.424785
         5033.1	       4.716981	    2802.125513
        5035.15	      10.613208	    2810.214719
        5037.15	      12.971698	    2818.100282
        5039.15	       2.948113	    2825.979585
        5041.15	       1.768868	    2833.852637
        5043.15	      10.023585	    2841.719443
        5045.15	       4.716981	    2849.580013
        5047.15	      10.023585	    2857.434353
        5049.15	       7.665094	    2865.282471
        5051.15	       9.433962	    2873.124374
        5053.15	       7.665094	    2880.960069
        5055.15	      15.330189	    2888.789564
        5057.15	       8.254717	    2896.612867
        5059.15	      10.613208	    2904.429983
         5061.2	      10.023585	    2912.436117
        5063.15	      10.023585	     2920.04569
        5065.15	       2.358491	    2927.844294
         5067.2	       5.896226	    2935.831475
        5069.15	       5.306604	    2943.423042
         5071.2	       5.896226	    2951.397625
        5073.15	       6.485849	    2958.977223
        5075.15	       5.306604	    2966.745119
        5077.15	        8.84434	    2974.506895
        5079.15	       6.485849	    2982.262559
         5081.2	       6.485849	    2990.205778
        5083.15	        8.84434	    2997.755577
        5085.15	       7.665094	    3005.492946
        5087.15	       8.254717	    3013.224231
        5089.15	       9.433962	    3020.949439
         5091.2	       6.485849	    3028.861479
        5093.15	       5.896226	    3036.381654
        5095.15	        8.84434	    3044.088676
        5097.15	       4.716981	    3051.789649
        5099.15	       4.127358	    3059.484581
         5101.2	       5.896226	    3067.365624
        5103.15	       7.665094	    3074.856351
        5105.15	       4.127358	    3082.533202
        5107.15	      10.613208	    3090.204041
        5109.15	       9.433962	    3097.868875
        5111.15	      14.150943	     3105.52771
        5113.15	       2.948113	    3113.180554
         5115.1	       7.075472	    3120.636314
        5117.15	       5.896226	    3128.468294
         5119.1	       3.537736	    3135.912406
        5121.15	       2.358491	    3143.732153
         5123.1	        8.84434	    3151.164643
         5125.1	       5.896226	    3158.781833
         5127.1	       4.716981	    3166.393081
         5129.1	       7.665094	    3173.998393
        5131.15	      10.613208	    3181.787685
         5133.1	       8.254717	    3189.191238
         5135.1	       3.537736	    3196.778784
        5137.15	      14.150943	    3204.549888
        5139.15	        8.84434	    3212.125478
        5141.15	      13.561321	    3219.695174
        5143.15	       5.306604	    3227.258982
        5145.15	       8.254717	    3234.816911
        5147.15	      10.023585	    3242.368965
        5149.15	      10.023585	    3249.915153
        5151.15	      10.613208	    3257.455482
        5153.15	       7.075472	    3264.989957
        5155.15	       7.665094	    3272.518586
        5157.15	       9.433962	    3280.041376
        5159.15	       4.716981	    3287.558333
         5161.2	       7.665094	    3295.257168
        5163.15	       7.075472	    3302.574777
        5165.15	       5.306604	    3310.074277
        5167.15	      10.023585	    3317.567972
        5169.15	       5.306604	    3325.055867
         5171.2	       5.896226	     3332.72495
        5173.15	       7.665094	     3340.01429
        5175.15	       8.254717	    3347.484829
         5177.2	       4.716981	    3355.136142
         5179.2	      10.613208	    3362.595001
         5181.2	       7.075472	    3370.048101
        5183.15	       6.485849	    3377.309336
        5185.15	       8.254717	    3384.751083
        5187.15	       6.485849	    3392.187091
        5189.15	       5.896226	    3399.617367
         5191.2	       9.433962	    3407.227459
        5193.15	       5.896226	    3414.460751
        5195.15	       7.665094	    3421.873871
        5197.15	       5.306604	    3429.281285
        5199.15	       5.306604	    3436.683001
         5201.2	       2.358491	    3444.263852
        5203.15	       6.485849	    3451.469362
        5205.15	       11.20283	     3458.85402
        5207.15	      17.099057	    3466.233005
        5209.15	      10.023585	    3473.606325
         5211.2	      12.382075	    3481.158103
        5213.15	       5.896226	    3488.335991
         5215.1	       7.075472	    3495.508511
        5217.15	       4.127358	    3503.043071
        5219.15	       8.254717	    3510.388157
        5221.15	       4.716981	    3517.727616
        5223.15	       8.254717	    3525.061454
         5225.1	       4.716981	    3532.206541
         5227.1	       4.716981	    3539.529297
         5229.1	       5.306604	    3546.846452
        5231.15	      10.613208	    3554.340729
         5233.1	       3.537736	    3561.463982
         5235.1	       5.896226	    3568.764371
        5237.15	        8.84434	    3576.241483
        5239.15	       4.716981	    3583.530587
        5241.15	       1.768868	    3590.814128
        5243.15	       1.768868	    3598.092112
         5245.1	       4.127358	    3605.182803
        5247.15	      10.613208	    3612.631437
        5249.15	       5.306604	    3619.892789
         5251.2	       4.716981	    3627.329936
        5253.15	       7.665094	    3634.398907
        5255.15	       8.254717	    3641.643685
        5257.15	       8.254717	    3648.882951
        5259.15	       1.768868	    3656.116711
         5261.2	       5.306604	    3663.525606
        5263.15	      12.971698	    3670.567737
        5265.15	       7.075472	    3677.785016
         5267.2	       6.485849	    3685.177039
        5269.15	       8.254717	    3692.203137
         5271.2	       9.433962	    3699.583943
        5273.15	       5.306604	    3706.599385
        5275.15	       4.127358	    3713.789321
         5277.2	       11.20283	     3721.15335
        5279.15	       6.485849	    3728.152851
         5281.2	       5.896226	    3735.505727
        5283.15	       4.716981	    3742.494631
        5285.15	       7.075472	     3749.65738
        5287.15	       5.306604	     3756.81471
         5289.2	       4.127358	    3764.145356
         5291.2	       2.948113	    3771.291731
        5293.15	       2.948113	    3778.254248
        5295.15	       6.485849	    3785.389963
        5297.15	       4.127358	     3792.52029
        5299.15	       3.537736	    3799.645235
         5301.2	       9.433962	    3806.942724
        5303.15	        8.84434	    3813.879003
