u:\PHYS 402\Lab 1 (D7)\day2data8.txt

DAQ PROGRAM: DGMC2.prj 


Date: 
09-08-2020
Time: 
12:23:35
Total Number of Data Points:     
512
Stepper Motor Step Size (Cycles):
1
Stepper Motor Step Size (Steps): 
40
Stepper Motor Step Size (cm):    
2.0

W(A) 	Robs 	WNum 
        3401.65	      10.023585	   -6726.902036
        3403.15	       2.948113	   -6713.944556
        3405.15	       11.20283	   -6696.685675
        3407.15	       9.433962	   -6679.447055
        3409.15	       7.075472	   -6662.228661
         3411.2	       7.665094	   -6644.600761
        3413.15	       7.075472	    -6627.85241
        3415.15	       3.537736	   -6610.694483
        3417.15	        8.84434	   -6593.556639
        3419.15	       4.127358	   -6576.438845
        3421.15	      12.382075	   -6559.341065
        3423.15	       7.075472	   -6542.263264
         3425.1	      14.150943	   -6525.631611
        3427.15	       8.254717	   -6508.167459
        3429.15	       7.665094	   -6491.149385
        3431.15	      10.023585	   -6474.151151
        3433.15	       8.254717	   -6457.172722
        3435.15	      10.023585	   -6440.214063
        3437.15	        8.84434	   -6423.275139
        3439.15	       6.485849	   -6406.355917
        3441.15	       7.075472	   -6389.456362
        3443.15	      12.382075	    -6372.57644
        3445.15	        8.84434	   -6355.716115
        3447.15	      10.023585	   -6338.875356
        3449.15	        8.84434	   -6322.054126
         3451.2	       6.485849	     -6304.8326
        3453.15	        8.84434	   -6288.470123
        3455.15	       7.075472	   -6271.707281
        3457.15	       6.485849	   -6254.963834
        3459.15	      14.740566	   -6238.239749
         3461.2	      10.613208	    -6221.11762
         3463.2	      10.023585	   -6204.432638
        3465.15	       8.254717	   -6188.183326
         3467.2	      14.150943	   -6171.120422
         3469.2	      14.740566	   -6154.493121
         3471.2	       9.433962	    -6137.88498
         3473.2	      10.613208	   -6121.295966
        3475.15	      15.330189	   -6105.140062
         3477.2	      11.792453	   -6088.175189
         3479.2	       7.665094	   -6071.643359
         3481.2	       6.485849	   -6055.130524
         3483.2	       11.20283	   -6038.636653
         3485.2	       6.485849	   -6022.161711
         3487.2	       8.254717	   -6005.705667
         3489.2	       4.716981	   -5989.268489
         3491.2	        8.84434	   -5972.850143
         3493.2	       11.20283	   -5956.450597
        3495.15	      12.971698	   -5940.479111
         3497.2	      12.382075	   -5923.707778
        3499.15	       5.896226	   -5907.772796
         3501.2	        8.84434	   -5891.039774
        3503.15	       9.433962	   -5875.141171
        3505.15	       9.433962	   -5858.853288
        3507.15	       5.896226	   -5842.583981
        3509.15	      11.792453	   -5826.333219
         3511.2	       3.537736	   -5809.695402
        3513.15	       2.948113	   -5793.887204
        3515.15	       11.20283	   -5777.691888
        3517.15	      10.023585	    -5761.51499
        3519.15	       8.254717	   -5745.356479
        3521.15	       8.254717	   -5729.216325
        3523.15	      14.740566	   -5713.094495
        3525.15	       11.20283	   -5696.990958
         3527.1	      10.613208	   -5681.307594
        3529.15	      10.613208	   -5664.838641
        3531.15	       4.716981	   -5648.789799
        3533.15	       8.254717	   -5632.759126
        3535.15	      14.150943	   -5616.746592
        3537.15	       7.665094	   -5600.752165
        3539.15	       11.20283	   -5584.775816
         3541.2	        8.84434	   -5568.418786
        3543.15	      10.023585	   -5552.877226
        3545.15	       5.896226	   -5536.954925
        3547.15	       7.075472	   -5521.050578
        3549.15	       5.306604	   -5505.164157
         3551.2	        8.84434	   -5488.899145
        3553.15	       5.896226	   -5473.444966
        3555.15	       5.306604	   -5457.612137
        3557.15	      11.792453	   -5441.797112
        3559.15	       8.254717	   -5425.999861
         3561.2	       5.896226	   -5409.826093
         3563.2	       8.254717	   -5394.064742
        3565.15	      11.792453	   -5378.714452
         3567.2	       6.485849	   -5362.595062
         3569.2	       7.075472	   -5346.886673
         3571.2	       5.896226	   -5331.195878
         3573.2	       5.306604	   -5315.522648
         3575.2	       8.254717	   -5299.866954
         3577.2	       7.075472	   -5284.228766
         3579.2	        8.84434	   -5268.608055
         3581.2	      15.919811	   -5253.004791
         3583.2	       9.433962	   -5237.418945
         3585.2	      10.023585	   -5221.850489
         3587.2	       8.254717	   -5206.299392
         3589.2	      12.382075	   -5190.765627
         3591.2	       8.254717	   -5175.249163
         3593.2	       6.485849	   -5159.749973
         3595.2	       5.896226	   -5144.268027
         3597.2	        8.84434	   -5128.803296
         3599.2	      10.023585	   -5113.355753
         3601.2	       6.485849	   -5097.925367
        3603.15	      10.613208	   -5082.897234
        3605.15	       4.127358	   -5067.500652
        3607.15	       5.306604	   -5052.121144
        3609.15	       7.075472	   -5036.758681
         3611.2	      13.561321	   -5021.029816
        3613.15	      11.792453	   -5006.084776
        3615.15	      10.023585	   -4990.773278
        3617.15	       7.665094	   -4975.478712
        3619.15	      10.023585	    -4960.20105
         3621.2	      10.023585	    -4944.55896
        3623.15	      16.509434	   -4929.696326
        3625.15	       5.896226	   -4914.469209
        3627.15	      14.150943	   -4899.258884
        3629.15	       5.896226	   -4884.065323
        3631.15	      14.150943	     -4868.8885
        3633.15	       7.665094	   -4853.728385
        3635.15	      12.382075	   -4838.584953
        3637.15	       7.665094	   -4823.458174
        3639.15	       6.485849	   -4808.348022
         3641.2	       4.716981	   -4792.877343
        3643.15	       8.254717	   -4778.177489
        3645.15	       6.485849	   -4763.117054
        3647.15	      12.382075	   -4748.073135
        3649.15	      10.023585	   -4733.045707
         3651.2	       9.433962	   -4717.659679
        3653.15	      13.561321	   -4703.040214
        3655.15	       5.896226	   -4688.062095
        3657.15	       11.20283	   -4673.100358
         3659.2	       6.485849	   -4657.781551
         3661.2	       7.665094	   -4642.852906
        3663.15	       9.433962	   -4628.313172
         3665.2	       7.075472	   -4613.044492
         3667.2	       8.254717	   -4598.164671
         3669.2	       6.485849	   -4583.301071
         3671.2	       5.896226	   -4568.453665
         3673.2	      13.561321	   -4553.622428
        3675.15	      12.971698	   -4539.177514
         3677.2	      14.740566	   -4524.008354
         3679.2	      12.971698	   -4509.225464
         3681.2	       9.433962	   -4494.458637
         3683.2	       8.254717	   -4479.707847
         3685.2	      10.023585	   -4464.973068
         3687.2	       6.485849	   -4450.254273
         3689.2	       11.20283	   -4435.551438
         3691.2	       7.665094	   -4420.864535
         3693.2	       4.716981	   -4406.193539
        3695.15	      10.023585	   -4391.904609
         3697.2	       8.254717	   -4376.899165
         3699.2	       2.948113	   -4362.275736
         3701.2	       5.896226	    -4347.66811
        3703.15	       8.254717	   -4333.440867
        3705.15	       8.254717	   -4318.864379
        3707.15	       4.716981	   -4304.303619
        3709.15	       7.075472	   -4289.758562
         3711.2	       6.485849	   -4274.866147
        3713.15	        8.84434	   -4260.715453
        3715.15	      10.023585	   -4246.217351
        3717.15	       8.254717	    -4231.73485
        3719.15	        8.84434	   -4217.267926
        3721.15	       8.254717	   -4202.816552
        3723.15	       11.20283	   -4188.380705
         3725.1	      12.382075	   -4174.320678
        3727.15	      19.457547	   -4159.555488
        3729.15	      10.613208	   -4145.166068
        3731.15	       7.665094	   -4130.792075
        3733.15	      12.971698	   -4116.433484
        3735.15	       5.896226	   -4102.090269
        3737.15	      10.023585	   -4087.762406
        3739.15	       8.254717	    -4073.44987
         3741.2	      12.971698	   -4058.795402
        3743.15	       8.254717	   -4044.870683
        3745.15	       11.20283	   -4030.603982
        3747.15	      13.561321	   -4016.352511
        3749.15	       8.254717	   -4002.116245
         3751.2	       6.485849	   -3987.539826
        3753.15	      11.792453	    -3973.68923
